CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ano
22,LC,140847,C,20,0,,3.15133,0.25141,0.1738,AZUL,1201,,0,2023
16,LC,140918,A,26,0,,2.96562,0.57507,0.16642,AZUL,1201,,0,2023
107,CN,12018,D,29,0,,1.82986,1.82071,0.19864,AZUL,1221,,0,2023
96,CN,63155,D,26,0,,3.97972,1.34607,0.24211,AZUL,1221,,0,2023
145,MT,125929,B,9,0,,1.58702,2.1908,0.24232,AZUL,1211,,0,2023
138,MT,141582,C,30,0,,1.46956,2.91942,0.24283,AZUL,1211,,0,2023
137,MT,31650,C,27,0,,3.33563,1.08025,0.20912,AZUL,1211,,0,2023
64,CH,141113,D,27,0,,1.20452,0.31781,0.22687,AZUL,1191,,0,2023
3,LC,140736,D,8,0,,2.40685,0.91466,0.10159,AZUL,1201,0.0,0,2023
42,LC,141802,E,10,0,,2.59779,-0.03089,0.21017,AZUL,1201,,0,2023
32,LC,141229,A,14,0,,2.6904,1.08302,0.17386,AZUL,1201,,0,2023
90,CH,140571,B,4,0,,2.01758,1.4703,0.23595,AZUL,1191,,0,2023
76,CH,140534,D,6,0,,2.79594,0.44013,0.15523,AZUL,1191,,0,2023
67,CH,140499,B,30,0,,1.53812,0.12887,0.18969,AZUL,1191,,0,2023
66,CH,140166,A,15,0,,2.42214,-0.62019,0.09595,AZUL,1191,,0,2023
81,CH,141350,A,12,0,,1.97882,2.37904,0.24518,AZUL,1191,,0,2023
15,LC,118195,B,30,0,,1.67063,-0.06011,0.08734,AZUL,1201,,0,2023
11,LC,118301,D,23,0,,0.95292,-0.47764,0.00564,AZUL,1201,,0,2023
6,LC,141233,D,9,0,,1.74151,0.50452,0.15417,AZUL,1201,,0,2023
175,MT,85504,B,21,0,,2.21375,1.82985,0.15414,AZUL,1211,,0,2023
165,MT,28932,E,8,0,,2.39434,1.98395,0.11508,AZUL,1211,,0,2023
154,MT,126028,B,7,0,,2.33037,1.91643,0.0839,AZUL,1211,,0,2023
178,MT,111754,B,15,0,,2.95569,2.84307,0.24511,AZUL,1211,,0,2023
54,CH,141136,A,1,0,,1.22125,2.63782,0.30445,AZUL,1191,,0,2023
135,CN,26042,D,19,0,,3.9865,1.63479,0.19026,AZUL,1221,,0,2023
130,CN,126604,D,12,0,,3.09202,0.32873,0.1577,AZUL,1221,,0,2023
180,MT,125969,C,30,0,,1.78452,0.74313,0.18879,AZUL,1211,,0,2023
35,LC,141243,A,11,0,,2.00614,-0.27647,0.09754,AZUL,1201,,0,2023
100,CN,111665,C,20,0,,3.83841,1.04691,0.14482,AZUL,1221,,0,2023
106,CN,141723,C,11,0,,2.6872,0.69491,0.15317,AZUL,1221,,0,2023
114,CN,97149,A,17,0,,0.99037,1.55817,0.20321,AZUL,1221,,0,2023
110,CN,78578,B,17,0,,3.20349,1.99265,0.20277,AZUL,1221,,0,2023
150,MT,117706,A,19,0,,2.26306,1.45121,0.23837,AZUL,1211,,0,2023
147,MT,16795,D,16,0,,1.05676,1.98507,0.08392,AZUL,1211,,0,2023
45,LC,140920,E,3,0,,1.41999,0.67926,0.21271,AZUL,1201,,0,2023
29,LC,140944,E,15,0,,1.74817,1.91976,0.19926,AZUL,1201,,0,2023
71,CH,140819,A,19,0,,0.93259,1.90011,0.09391,AZUL,1191,,0,2023
88,CH,141051,A,18,0,,1.90228,1.5999,0.16847,AZUL,1191,,0,2023
176,MT,81742,E,2,0,,1.63418,1.34475,0.13956,AZUL,1211,,0,2023
14,LC,140899,D,29,0,,1.22127,1.21426,0.22043,AZUL,1201,,0,2023
10,LC,111887,E,29,0,,3.04416,0.33951,0.1833,AZUL,1201,,0,2023
5,LC,140732,B,7,0,,2.91867,0.12363,0.19992,AZUL,1201,0.0,0,2023
174,MT,126039,E,6,0,,1.55327,-0.28917,0.18185,AZUL,1211,,0,2023
170,MT,37441,D,22,0,,3.01304,2.67185,0.08455,AZUL,1211,,0,2023
169,MT,81743,D,2,0,,1.72431,0.7783,0.18886,AZUL,1211,,0,2023
167,MT,27330,A,18,0,,1.94836,1.9392,0.17138,AZUL,1211,,0,2023
65,CH,141104,A,13,0,,3.50089,0.56073,0.15911,AZUL,1191,,0,2023
50,CH,141106,E,5,0,,3.29734,1.19128,0.15604,AZUL,1191,,0,2023
134,CN,85436,E,29,0,,1.56816,1.75342,0.18632,AZUL,1221,,0,2023
127,CN,97813,C,15,0,,3.04923,2.24438,0.15941,AZUL,1221,,0,2023
39,LC,97007,C,4,0,,1.9592,0.91289,0.16231,AZUL,1201,,0,2023
24,LC,140857,E,21,0,,1.2615,-0.59214,0.01135,AZUL,1201,,0,2023
109,CN,83552,D,7,0,,2.40735,1.62185,0.13073,AZUL,1221,,0,2023
98,CN,86347,B,28,0,,3.97355,1.19295,0.12256,AZUL,1221,,0,2023
117,CN,82333,A,22,0,,2.71433,1.9822,0.05932,AZUL,1221,,0,2023
146,MT,14410,E,4,0,,2.38237,1.88674,0.10321,AZUL,1211,,0,2023
139,MT,141567,D,24,0,,1.18793,1.75696,0.15183,AZUL,1211,,0,2023
60,CH,141049,D,22,0,,1.40431,0.08591,0.21032,AZUL,1191,,0,2023
116,CN,60037,B,9,0,,3.05374,1.81691,0.33738,AZUL,1221,,0,2023
89,CH,141142,D,30,0,,3.20901,-0.05645,0.29486,AZUL,1191,,0,2023
86,CH,141022,E,25,0,,3.83368,0.79149,0.11063,AZUL,1191,,0,2023
83,CH,140815,C,28,0,,1.15078,0.24134,0.01092,AZUL,1191,,0,2023
82,CH,125684,B,16,0,,3.5628,0.50483,0.22204,AZUL,1191,,0,2023
177,MT,14389,A,15,0,,0.96035,1.52433,0.14823,AZUL,1211,,0,2023
152,MT,86783,B,22,0,,3.58609,3.00088,0.19242,AZUL,1211,,0,2023
149,MT,125884,E,11,0,,3.44278,1.55674,0.09149,AZUL,1211,,0,2023
153,MT,125935,E,17,0,,1.13247,0.13877,0.19155,AZUL,1211,,0,2023
97,CN,84041,A,3,0,,3.68114,1.27129,0.1,AZUL,1221,,0,2023
57,CH,125719,E,23,0,,2.53325,0.6643,0.17011,AZUL,1191,,0,2023
125,CN,64023,E,13,0,,1.81427,1.4199,0.25187,AZUL,1221,,0,2023
36,LC,141260,A,12,0,,1.74835,0.77042,0.16206,AZUL,1201,,0,2023
92,CN,83378,B,3,0,,1.92829,-1.14947,0.20133,AZUL,1221,,0,2023
140,MT,98278,E,27,0,,1.71891,2.19574,0.08744,AZUL,1211,,0,2023
59,CH,48747,A,3,0,,1.70103,0.11476,0.11185,AZUL,1191,,0,2023
115,CN,117866,B,10,0,,2.33748,1.77344,0.10811,AZUL,1221,,0,2023
38,LC,141214,A,13,0,,2.36405,0.00914,0.19662,AZUL,1201,,0,2023
