CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ano
50,CH,86751,C,23.0,0,,3.45284,1.65017,0.09484,Azul,507,,0.0,2019
51,CH,83820,B,12.0,0,,2.24266,0.19945,0.14787,Azul,507,,0.0,2019
52,CH,77940,A,16.0,0,,1.69265,-0.16281,0.19993,Azul,507,,0.0,2019
53,CH,118034,B,9.0,0,,2.89911,0.93429,0.16213,Azul,507,,0.0,2019
54,CH,84888,B,15.0,0,,2.3107,1.45829,0.17477,Azul,507,,0.0,2019
55,CH,88233,A,15.0,0,,1.39689,1.31818,0.11442,Azul,507,,0.0,2019
56,CH,86934,D,17.0,0,,0.61655,1.00168,0.04145,Azul,507,,0.0,2019
57,CH,118158,C,6.0,0,,2.22546,0.46653,0.15939,Azul,507,,0.0,2019
58,CH,88306,B,23.0,0,,1.78628,1.34891,0.18079,Azul,507,,0.0,2019
59,CH,118033,C,6.0,0,,3.33353,0.6595,0.32563,Azul,507,,0.0,2019
60,CH,84769,E,11.0,0,,2.20133,1.01836,0.12996,Azul,507,,0.0,2019
61,CH,118022,E,26.0,0,,3.17381,0.77149,0.09188,Azul,507,,0.0,2019
62,CH,111844,E,11.0,0,,2.33881,0.22143,0.04965,Azul,507,,0.0,2019
63,CH,33960,B,14.0,0,,3.73216,1.13742,0.16303,Azul,507,,0.0,2019
64,CH,78903,C,11.0,0,,1.5682,-0.25115,0.00814,Azul,507,,0.0,2019
65,CH,97975,A,1.0,0,,1.45676,1.3618,0.21595,Azul,507,,0.0,2019
66,CH,118108,C,22.0,0,,2.80224,0.44492,0.21353,Azul,507,,0.0,2019
67,CH,66219,A,1.0,0,,1.471,1.73902,0.23765,Azul,507,,0.0,2019
68,CH,111877,C,10.0,0,,2.54319,0.68737,0.16087,Azul,507,,0.0,2019
69,CH,88194,E,19.0,0,,1.35668,1.69195,0.10234,Azul,507,,0.0,2019
70,CH,118125,E,21.0,0,,1.14176,0.61713,0.00161,Azul,507,,0.0,2019
71,CH,87057,D,20.0,0,,1.22262,0.2453,0.17471,Azul,507,,0.0,2019
72,CH,85139,B,24.0,0,,2.89534,0.60872,0.22906,Azul,507,,0.0,2019
73,CH,88308,C,3.0,0,,1.40104,1.15692,0.09673,Azul,507,,0.0,2019
74,CH,87709,C,3.0,0,,2.06585,1.48052,0.17341,Azul,507,,0.0,2019
75,CH,112135,A,27.0,0,,2.05925,0.34452,0.21848,Azul,507,,0.0,2019
76,CH,81689,D,23.0,0,,2.34674,1.87883,0.11625,Azul,507,,0.0,2019
77,CH,118029,B,5.0,0,,2.63717,1.07054,0.22582,Azul,507,,0.0,2019
78,CH,118024,E,4.0,0,,2.44871,1.81367,0.12029,Azul,507,,0.0,2019
79,CH,97013,A,24.0,0,,0.73411,1.20733,0.01008,Azul,507,,0.0,2019
80,CH,11601,D,15.0,0,,1.20499,0.975,0.146,Azul,507,,0.0,2019
81,CH,89147,B,18.0,0,,3.04427,1.36609,0.23176,Azul,507,,0.0,2019
