CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ano
46,CH,140506,D,26,0,,0.98121,1.34897,0.06218,AZUL,1055,,0,2022
90,CH,111984,A,3,0,,1.90716,1.36087,0.22521,AZUL,1055,,0,2022
89,CH,140190,C,5,0,,1.94428,0.27387,0.14788,AZUL,1055,,0,2022
88,CH,96516,E,2,0,,1.96743,2.20588,0.08863,AZUL,1055,,0,2022
87,CH,140572,B,19,0,,2.46583,0.73772,0.17053,AZUL,1055,,0,2022
86,CH,96291,C,1,0,,2.9037,1.66082,0.10307,AZUL,1055,,0,2022
85,CH,125944,D,4,0,,1.69059,0.29126,0.1166,AZUL,1055,,0,2022
84,CH,111893,C,3,0,,0.56617,1.5801,0.03472,AZUL,1055,,0,2022
83,CH,141072,B,8,0,,2.78275,0.64418,0.18557,AZUL,1055,,0,2022
82,CH,140643,B,6,0,,2.21197,1.4236,0.21778,AZUL,1055,,0,2022
81,CH,95739,D,12,0,,4.24795,0.96273,0.16049,AZUL,1055,,0,2022
80,CH,95823,C,3,0,,1.30094,0.82448,0.0937,AZUL,1055,,0,2022
79,CH,140378,A,5,0,,2.1636,0.57483,0.15916,AZUL,1055,,0,2022
78,CH,67980,E,6,0,,4.03907,1.33056,0.05942,AZUL,1055,,0,2022
77,CH,140550,A,27,0,,3.5293,0.41127,0.19018,AZUL,1055,,0,2022
76,CH,140441,D,29,0,,1.76207,1.31972,0.21908,AZUL,1055,,0,2022
75,CH,140721,E,5,0,,0.81842,0.92559,0.02544,AZUL,1055,,0,2022
74,CH,118110,C,6,0,,2.22329,1.79851,0.25237,AZUL,1055,,0,2022
73,CH,75825,B,13,0,,2.34384,0.97017,0.12421,AZUL,1055,,0,2022
72,CH,141384,D,18,0,,3.39376,1.05605,0.15958,AZUL,1055,,0,2022
71,CH,44230,A,23,0,,2.73837,0.8616,0.21624,AZUL,1055,,0,2022
70,CH,97262,A,15,0,,1.46058,-0.44013,0.20483,AZUL,1055,,0,2022
69,CH,82962,A,15,0,,1.7267,1.34237,0.16873,AZUL,1055,,0,2022
68,CH,111964,D,7,0,,2.81132,0.5445,0.20515,AZUL,1055,,0,2022
67,CH,141148,D,10,0,,3.48759,0.79822,0.18644,AZUL,1055,,0,2022
66,CH,140914,C,14,0,,0.85459,2.13235,0.12367,AZUL,1055,,0,2022
65,CH,141048,B,22,0,,1.63923,-0.72645,0.00905,AZUL,1055,,0,2022
63,CH,112145,B,11,0,,0.47387,2.25057,0.00901,AZUL,1055,,0,2022
62,CH,140585,C,9,0,,2.18434,1.60479,0.16086,AZUL,1055,,0,2022
61,CH,141030,E,16,0,,3.15825,0.30776,0.14196,AZUL,1055,,0,2022
60,CH,140429,B,20,0,,2.16917,0.75171,0.18087,AZUL,1055,,0,2022
59,CH,118066,C,19,0,,1.933,0.69054,0.17203,AZUL,1055,,0,2022
58,CH,125654,E,14,0,,1.49576,0.47561,0.01589,AZUL,1055,,0,2022
57,CH,141355,A,23,0,,2.81233,1.85756,0.17604,AZUL,1055,,0,2022
56,CH,141364,A,20,0,,1.83281,-0.1754,0.04287,AZUL,1055,,0,2022
55,CH,140631,B,28,0,,1.57605,2.33974,0.25072,AZUL,1055,,0,2022
54,CH,125706,E,25,0,,0.5628,2.08511,0.00958,AZUL,1055,,0,2022
53,CH,140568,A,21,0,,1.48568,0.87454,0.17248,AZUL,1055,,0,2022
52,CH,88045,D,18,0,,3.62371,0.51644,0.275,AZUL,1055,,0,2022
51,CH,87207,E,17,0,,4.79392,1.19623,0.12998,AZUL,1055,,0,2022
50,CH,140682,E,27,0,,1.88815,1.59325,0.13196,AZUL,1055,,0,2022
49,CH,140639,B,30,0,,2.71371,0.59055,0.19782,AZUL,1055,,0,2022
48,CH,141322,A,24,0,,2.8995,-0.42411,0.19356,AZUL,1055,,0,2022
47,CH,83806,E,24,0,,1.98269,0.65728,0.08702,AZUL,1055,,0,2022
1,LC,111918,D,8,0,,3.71022,0.34919,0.20287,AZUL,1065,0.0,0,2022
45,LC,141261,E,14,0,,2.31367,0.48334,0.18144,AZUL,1065,,0,2022
44,LC,81994,C,12,0,,0.91022,0.76591,0.01172,AZUL,1065,,0,2022
43,LC,78112,E,17,0,,0.76335,0.46065,0.00865,AZUL,1065,,0,2022
42,LC,90238,D,17,0,,1.32058,0.69547,0.07827,AZUL,1065,,0,2022
41,LC,10776,B,17,0,,1.35922,-0.10494,0.00701,AZUL,1065,,0,2022
40,LC,6864,D,16,0,,0.57225,0.0979,0.01556,AZUL,1065,,0,2022
39,LC,54528,E,13,0,,2.90825,2.05309,0.10359,AZUL,1065,,0,2022
38,LC,120368,B,12,0,,3.46434,2.20555,0.0675,AZUL,1065,,0,2022
37,LC,141390,A,30,0,,1.54579,-0.30477,0.00839,AZUL,1065,,0,2022
36,LC,111961,C,2,0,,1.6838,0.70642,0.29621,AZUL,1065,,0,2022
35,LC,140898,C,1,0,,1.69478,2.32558,0.16355,AZUL,1065,,0,2022
34,LC,119767,D,11,0,,2.11177,-0.55865,0.18565,AZUL,1065,,0,2022
33,LC,86703,A,1,0,,2.08922,0.96392,0.23742,AZUL,1065,,0,2022
32,LC,44570,A,3,0,,1.04632,0.65812,0.23788,AZUL,1065,,0,2022
31,LC,89149,A,16,0,,1.05565,0.45772,0.03348,AZUL,1065,,0,2022
30,LC,26545,C,15,0,,4.15101,1.348,0.0928,AZUL,1065,,0,2022
29,LC,111954,D,15,0,,0.78612,1.19878,0.06459,AZUL,1065,,0,2022
28,LC,120626,B,20,0,,0.82491,0.89707,0.03562,AZUL,1065,,0,2022
27,LC,141410,B,21,0,,2.62079,0.2007,0.10693,AZUL,1065,,0,2022
26,LC,96502,C,19,0,,1.14926,-0.51604,0.00912,AZUL,1065,,0,2022
25,LC,141203,C,9,0,,1.71461,-0.15137,0.18763,AZUL,1065,,0,2022
24,LC,141440,E,26,0,,2.72306,0.13273,0.20082,AZUL,1065,,0,2022
23,LC,9716,E,16,0,,0.9036,1.48142,0.05685,AZUL,1065,,0,2022
22,LC,39101,E,22,0,,2.07003,1.19098,0.13567,AZUL,1065,,0,2022
21,LC,140827,B,15,0,,2.05337,0.67994,0.17382,AZUL,1065,,0,2022
20,LC,45201,C,10,0,,2.64453,1.04534,0.13269,AZUL,1065,,0,2022
19,LC,120124,C,9,0,,2.93292,0.03337,0.17638,AZUL,1065,,0,2022
18,LC,67229,A,18,0,,2.64295,1.76932,0.18786,AZUL,1065,,0,2022
17,LC,141464,B,4,0,,0.94658,1.25172,0.21415,AZUL,1065,,0,2022
16,LC,141427,E,3,0,,2.40522,2.28139,0.1137,AZUL,1065,,0,2022
15,LC,111926,B,4,0,,2.48072,0.89717,0.27108,AZUL,1065,,0,2022
14,LC,42940,D,22,0,,1.30734,-0.29879,0.00797,AZUL,1065,,0,2022
13,LC,120622,B,30,0,,2.558,0.65099,0.12178,AZUL,1065,,0,2022
12,LC,42674,B,27,0,,2.26956,0.51892,0.2337,AZUL,1065,,0,2022
11,LC,41810,A,29,0,,0.92958,0.15096,0.01173,AZUL,1065,,0,2022
10,LC,49544,C,28,0,,2.43974,1.15872,0.12513,AZUL,1065,,0,2022
9,LC,66576,A,24,0,,2.66065,-0.7431,0.13295,AZUL,1065,,0,2022
8,LC,118120,A,23,0,,1.53331,2.16698,0.23705,AZUL,1065,,0,2022
7,LC,111929,A,22,0,,2.15283,1.51639,0.20049,AZUL,1065,,0,2022
6,LC,60382,E,25,0,,1.77346,0.68047,0.08704,AZUL,1065,,0,2022
5,LC,140626,E,6,0,,2.55762,0.57348,0.15419,AZUL,1065,0.0,0,2022
4,LC,140731,D,5,0,,2.88489,0.49591,0.18224,AZUL,1065,0.0,0,2022
3,LC,140767,B,6,0,,4.34313,0.36871,0.44865,AZUL,1065,0.0,0,2022
2,LC,111835,C,7,0,,2.64617,0.79049,0.1896,AZUL,1065,0.0,0,2022
136,MT,97590,E,25,0,,2.33252,2.40899,0.14217,AZUL,1075,,0,2022
180,MT,10409,E,6,0,,1.66982,2.03629,0.24595,AZUL,1075,,0,2022
179,MT,85588,B,24,0,,2.30031,0.46698,0.25799,AZUL,1075,,0,2022
178,MT,19807,E,12,0,,4.1583,2.56697,0.06542,AZUL,1075,,0,2022
177,MT,95676,A,26,0,,1.32325,0.64802,0.18728,AZUL,1075,,0,2022
176,MT,117886,D,9,0,,0.4443,6.27505,0.1251,AZUL,1075,,0,2022
175,MT,60441,E,1,0,,1.42701,-0.02398,0.11013,AZUL,1075,,0,2022
174,MT,14797,D,8,0,,2.93886,2.57768,0.12028,AZUL,1075,,0,2022
173,MT,30327,D,25,0,,2.81078,0.63977,0.16335,AZUL,1075,,0,2022
172,MT,117742,B,13,0,,0.65574,2.58862,0.1651,AZUL,1075,,0,2022
171,MT,96315,A,29,0,,1.69166,0.87454,0.20606,AZUL,1075,,0,2022
170,MT,68123,B,26,0,,2.18973,1.32978,0.04601,AZUL,1075,,0,2022
169,MT,63204,E,9,0,,3.78296,1.88956,0.14444,AZUL,1075,,0,2022
168,MT,10322,C,6,0,,1.53551,0.94716,0.1917,AZUL,1075,,0,2022
167,MT,68369,A,4,0,,2.57245,1.58603,0.10176,AZUL,1075,,0,2022
166,MT,31516,A,20,0,,1.50662,1.77699,0.15235,AZUL,1075,,0,2022
165,MT,82581,A,10,0,,1.90672,2.301,0.10655,AZUL,1075,,0,2022
164,MT,117877,B,12,0,,2.65709,1.6446,0.20086,AZUL,1075,,0,2022
163,MT,32369,D,30,0,,3.12341,2.40384,0.16659,AZUL,1075,,0,2022
162,MT,111516,C,24,0,,1.82335,1.38103,0.13879,AZUL,1075,,0,2022
161,MT,28683,A,11,0,,3.13149,2.33341,0.21903,AZUL,1075,,0,2022
160,MT,8364,A,6,0,,0.89111,2.43206,0.25086,AZUL,1075,,0,2022
159,MT,85013,B,2,0,,2.17147,2.5423,0.1841,AZUL,1075,,0,2022
158,MT,53461,C,23,0,,2.67778,2.3731,0.20523,AZUL,1075,,0,2022
156,MT,63646,C,7,0,,0.79395,2.40685,0.1129,AZUL,1075,,0,2022
155,MT,47309,B,2,0,,0.92146,2.16924,0.15718,AZUL,1075,,0,2022
154,MT,43182,C,3,0,,2.19381,1.56693,0.1302,AZUL,1075,,0,2022
153,MT,86466,C,14,0,,2.96283,2.44795,0.21497,AZUL,1075,,0,2022
152,MT,85228,C,18,0,,2.1343,3.73781,0.24053,AZUL,1075,,0,2022
151,MT,30053,C,17,0,,1.73381,2.02109,0.14967,AZUL,1075,,0,2022
150,MT,85343,D,22,0,,2.13479,3.22198,0.12748,AZUL,1075,,0,2022
149,MT,111738,B,27,0,,2.64614,2.2135,0.24887,AZUL,1075,,0,2022
148,MT,61248,D,15,0,,2.61757,2.2515,0.1851,AZUL,1075,,0,2022
147,MT,117820,C,17,0,,0.48694,4.48651,0.14739,AZUL,1075,,0,2022
146,MT,95509,E,21,0,,2.27997,2.41531,0.11329,AZUL,1075,,0,2022
145,MT,117651,E,18,0,,0.51115,2.58401,0.0088,AZUL,1075,,0,2022
144,MT,75829,C,1,0,,1.18017,1.92189,0.16856,AZUL,1075,,0,2022
143,MT,5961,D,7,0,,0.9032,2.45135,0.1617,AZUL,1075,,0,2022
142,MT,86499,B,5,0,,2.93676,3.33565,0.21207,AZUL,1075,,0,2022
140,MT,10500,B,3,0,,1.57712,3.30111,0.16855,AZUL,1075,,0,2022
139,MT,117973,A,11,0,,1.87291,2.86025,0.18347,AZUL,1075,,0,2022
138,MT,30493,D,27,0,,0.80375,2.27556,0.12859,AZUL,1075,,0,2022
137,MT,86840,C,28,0,,0.24441,4.65334,0.03228,AZUL,1075,,0,2022
91,CN,141574,A,27,0,,0.69982,1.45358,0.03441,AZUL,1085,,0,2022
135,CN,82765,E,1,0,,0.98394,1.03388,0.00428,AZUL,1085,,0,2022
133,CN,31313,D,2,0,,1.71131,1.42364,0.1615,AZUL,1085,,0,2022
132,CN,88655,D,4,0,,3.82953,0.85524,0.11511,AZUL,1085,,0,2022
131,CN,141503,C,3,0,,2.86161,0.4948,0.1606,AZUL,1085,,0,2022
130,CN,126560,C,22,0,,2.41581,0.78824,0.19317,AZUL,1085,,0,2022
129,CN,28632,C,9,0,,1.99451,1.78678,0.12762,AZUL,1085,,0,2022
128,CN,111613,A,2,0,,3.25053,1.20513,0.08404,AZUL,1085,,0,2022
127,CN,111431,E,9,0,,3.48192,1.70426,0.15448,AZUL,1085,,0,2022
126,CN,83901,B,8,0,,0.40583,2.51676,0.00918,AZUL,1085,,0,2022
125,CN,98106,E,13,0,,2.46518,1.46748,0.06515,AZUL,1085,,0,2022
124,CN,141547,B,10,0,,1.90673,1.4644,0.34041,AZUL,1085,,0,2022
123,CN,87998,E,3,0,,2.14355,1.77912,0.08867,AZUL,1085,,0,2022
122,CN,141726,A,11,0,,1.68577,1.10708,0.12014,AZUL,1085,,0,2022
121,CN,37769,B,14,0,,1.78429,2.50062,0.27071,AZUL,1085,,0,2022
120,CN,96244,E,15,0,,5.67249,1.52791,0.14273,AZUL,1085,,0,2022
118,CN,78716,C,14,0,,2.02681,0.56741,0.2452,AZUL,1085,,0,2022
117,CN,97761,C,17,0,,0.8924,1.01697,0.29789,AZUL,1085,,0,2022
116,CN,78377,B,6,0,,0.60239,2.40137,0.12017,AZUL,1085,,0,2022
115,CN,141545,B,12,0,,2.33494,1.44802,0.20932,AZUL,1085,,0,2022
114,CN,117854,C,15,0,,3.55169,1.49398,0.20257,AZUL,1085,,0,2022
111,CN,43073,A,17,0,,1.48588,0.96735,0.24215,AZUL,1085,,0,2022
110,CN,141712,D,16,0,,1.87507,0.91052,0.15109,AZUL,1085,,0,2022
109,CN,96189,D,22,0,,2.54149,1.20769,0.21012,AZUL,1085,,0,2022
108,CN,44969,B,25,0,,3.07166,1.89127,0.25272,AZUL,1085,,0,2022
107,CN,85860,C,24,0,,5.31621,2.04288,0.17088,AZUL,1085,,0,2022
106,CN,97915,C,24,0,,2.39896,2.76588,0.1897,AZUL,1085,,0,2022
